intertidal_sitename,site_code,survey_rep,year,month,day,section,transect,location,zone_code,final_classification,count
Bodega,14,1,2001,7,7,1,0,1.9,1,littorina keenae,11
Bodega,14,1,2001,7,7,1,0,1.9,1,littorina plena; littorina scutulata,3
Bodega,14,1,2001,7,7,1,0,8,4,nucella canaliculata,11
Bodega,14,1,2001,7,7,1,0,8,4,tegula funebralis,3
Bodega,14,1,2001,7,8,1,0,17.8,8,leptasterias spp,10
Bodega,14,1,2001,7,8,1,0,17.8,8,nucella emarginata; nucella ostrina,1
Bodega,14,1,2001,7,7,1,3,1.8,1,littorina plena; littorina scutulata,24
Bodega,14,1,2001,7,7,1,3,6.4,4,littorina plena; littorina scutulata,544
Bodega,14,1,2001,7,7,1,3,6.4,4,tegula funebralis,1
Bodega,14,1,2001,7,7,1,3,20.7,8,leptasterias spp,3
Bodega,14,1,2001,7,7,1,3,20.7,8,nucella canaliculata,1
Bodega,14,1,2001,7,7,1,3,20.7,8,pisaster ochraceus,1
Bodega,14,1,2001,7,7,1,6,0.8,1,littorina plena; littorina scutulata,9
Bodega,14,1,2001,7,7,1,6,8.6,4,littorina plena; littorina scutulata,4
Bodega,14,1,2001,7,7,1,6,23.5,8,leptasterias spp,10
Bodega,14,1,2001,7,7,1,6,23.5,8,nucella canaliculata,1
Bodega,14,1,2001,7,7,1,6,23.5,8,pisaster ochraceus,4
Bodega,14,1,2001,7,7,1,6,23.5,8,pugettia producta,3
Bodega,14,1,2001,7,7,1,9,1.5,1,littorina plena; littorina scutulata,5
Bodega,14,1,2001,7,7,1,9,8,4,littorina plena; littorina scutulata,676
Bodega,14,1,2001,7,7,1,9,8,4,nucella canaliculata,1
Bodega,14,1,2001,7,7,1,9,8,4,pachygrapsus crassipes,2
Bodega,14,1,2001,7,7,1,9,23.7,8,cancer antennarius,7
Bodega,14,1,2001,7,7,1,9,23.7,8,leptasterias spp,1
Bodega,14,1,2001,7,7,1,9,23.7,8,pisaster ochraceus,1
Bodega,14,1,2001,7,7,1,12,2.2,1,littorina plena; littorina scutulata,72
Bodega,14,1,2001,7,7,1,12,10.1,4,littorina plena; littorina scutulata,232
Bodega,14,1,2001,7,7,1,12,10.1,4,nucella emarginata; nucella ostrina,6
Bodega,14,1,2001,7,7,1,12,10.1,4,tegula funebralis,13
Bodega,14,1,2001,7,8,1,12,24.4,8,leptasterias spp,32
Bodega,14,1,2001,7,8,1,12,24.4,8,pisaster ochraceus,1
Bodega,14,1,2001,7,8,1,12,24.4,8,pugettia producta,1
Bodega,14,1,2001,7,7,1,14,2.6,1,littorina plena; littorina scutulata,168
Bodega,14,1,2001,7,7,1,14,8.4,4,littorina plena; littorina scutulata,152
Bodega,14,1,2001,7,7,1,14,8.4,4,nucella emarginata; nucella ostrina,3
Bodega,14,1,2001,7,7,1,14,8.4,4,tegula funebralis,8
Bodega,14,1,2001,7,7,1,14,24.7,8,leptasterias spp,6
Bodega,14,1,2001,7,7,1,14,24.7,8,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,18,1.7,1,littorina plena; littorina scutulata,688
Bodega,14,1,2001,7,8,2,18,7.1,4,littorina plena; littorina scutulata,448
Bodega,14,1,2001,7,8,2,18,7.1,4,nucella emarginata; nucella ostrina,7
Bodega,14,1,2001,7,8,2,18,7.1,4,pachycheles spp,1
Bodega,14,1,2001,7,8,2,18,7.1,4,tegula funebralis,21
Bodega,14,1,2001,7,8,2,18,33.1,8,leptasterias spp,21
Bodega,14,1,2001,7,8,2,18,33.1,8,littorina plena; littorina scutulata,176
Bodega,14,1,2001,7,8,2,18,33.1,8,nucella canaliculata,5
Bodega,14,1,2001,7,8,2,18,33.1,8,pagurus hirsutiusculus,1
Bodega,14,1,2001,7,8,2,18,33.1,8,pisaster ochraceus,1
Bodega,14,1,2001,7,8,2,18,33.1,8,pugettia producta,1
Bodega,14,1,2001,7,7,2,21,2.2,1,littorina plena; littorina scutulata,288
Bodega,14,1,2001,7,8,2,21,22.1,4,leptasterias spp,4
Bodega,14,1,2001,7,8,2,21,22.1,4,littorina plena; littorina scutulata,192
Bodega,14,1,2001,7,8,2,21,22.1,4,nucella canaliculata,24
Bodega,14,1,2001,7,8,2,21,22.1,4,nucella emarginata; nucella ostrina,36
Bodega,14,1,2001,7,8,2,21,39.6,8,leptasterias spp,16
Bodega,14,1,2001,7,8,2,21,39.6,8,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,24,1.7,1,littorina plena; littorina scutulata,496
Bodega,14,1,2001,7,8,2,24,25.5,4,littorina plena; littorina scutulata,3
Bodega,14,1,2001,7,8,2,24,40.2,8,cancer antennarius,1
Bodega,14,1,2001,7,8,2,24,40.2,8,leptasterias spp,3
Bodega,14,1,2001,7,8,2,24,40.2,8,nucella canaliculata,1
Bodega,14,1,2001,7,8,2,24,40.2,8,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,24,40.2,8,pugettia producta,1
Bodega,14,1,2001,7,8,2,27,1.5,1,littorina plena; littorina scutulata,464
Bodega,14,1,2001,7,8,2,27,18.4,4,littorina plena; littorina scutulata,30
Bodega,14,1,2001,7,8,2,27,18.4,4,nucella emarginata; nucella ostrina,5
Bodega,14,1,2001,7,8,2,27,18.4,4,tegula funebralis,17
Bodega,14,1,2001,7,8,2,27,37,8,leptasterias spp,11
Bodega,14,1,2001,7,8,2,27,37,8,pisaster ochraceus,9
Bodega,14,1,2001,7,8,2,30,0.3,1,littorina plena; littorina scutulata,912
Bodega,14,1,2001,7,8,2,30,13.9,4,littorina plena; littorina scutulata,296
Bodega,14,1,2001,7,8,2,30,13.9,4,nucella emarginata; nucella ostrina,8
Bodega,14,1,2001,7,8,2,30,13.9,4,tegula funebralis,14
Bodega,14,1,2001,7,8,2,30,28.5,8,leptasterias spp,7
Bodega,14,1,2001,7,8,2,30,28.5,8,littorina plena; littorina scutulata,128
Bodega,14,1,2001,7,8,2,30,28.5,8,nucella canaliculata,2
Bodega,14,1,2001,7,8,2,30,28.5,8,nucella emarginata; nucella ostrina,3
Bodega,14,1,2001,7,8,2,30,28.5,8,pagurus hirsutiusculus,1
Bodega,14,1,2001,7,8,2,30,28.5,8,pisaster ochraceus,2
Bodega,14,1,2001,7,8,2,30,28.5,8,pugettia producta,1
Bodega,14,2,2003,6,2,1,0,0.9,1,littorina plena; littorina scutulata,34
Bodega,14,2,2003,6,2,1,0,7.6,4,littorina plena; littorina scutulata,5
Bodega,14,2,2003,6,2,1,0,7.6,4,nucella emarginata; nucella ostrina,1
Bodega,14,2,2003,6,2,1,0,14.5,8,leptasterias spp,1
Bodega,14,2,2003,6,2,1,0,14.5,8,nucella canaliculata,1
Bodega,14,2,2003,6,2,1,0,14.5,8,nucella emarginata; nucella ostrina,3
Bodega,14,2,2003,6,2,1,3,2.8,1,littorina plena; littorina scutulata,518
Bodega,14,2,2003,6,2,1,3,18.1,8,leptasterias spp,5
Bodega,14,2,2003,6,2,1,6,0.2,1,littorina plena; littorina scutulata,28
Bodega,14,2,2003,6,2,1,6,6.4,4,littorina plena; littorina scutulata,342
Bodega,14,2,2003,6,2,1,6,20.1,8,leptasterias spp,2
Bodega,14,2,2003,6,2,1,6,20.1,8,tegula funebralis,1
Bodega,14,2,2003,6,2,1,9,2.2,1,littorina plena; littorina scutulata,280
Bodega,14,2,2003,6,2,1,9,8.6,4,littorina plena; littorina scutulata,396
Bodega,14,2,2003,6,2,1,9,8.6,4,nucella emarginata; nucella ostrina,1
Bodega,14,2,2003,6,2,1,9,20.3,8,amphissa versicolor,1
Bodega,14,2,2003,6,2,1,9,20.3,8,leptasterias spp,10
Bodega,14,2,2003,6,2,1,9,20.3,8,littorina plena; littorina scutulata,51
Bodega,14,2,2003,6,2,1,12,4.4,1,littorina plena; littorina scutulata,48
Bodega,14,2,2003,6,2,1,12,13.8,4,littorina plena; littorina scutulata,50
Bodega,14,2,2003,6,2,1,12,13.8,4,nucella emarginata; nucella ostrina,1
Bodega,14,2,2003,6,2,1,12,18.1,8,leptasterias spp,1
Bodega,14,2,2003,6,2,1,12,18.1,8,littorina plena; littorina scutulata,72
Bodega,14,2,2003,6,2,1,12,18.1,8,nucella emarginata; nucella ostrina,9
Bodega,14,2,2003,6,2,1,12,18.1,8,tegula funebralis,1
Bodega,14,2,2003,6,2,1,14,0,1,littorina keenae,1
Bodega,14,2,2003,6,2,1,14,0,1,littorina plena; littorina scutulata,388
Bodega,14,2,2003,6,2,1,14,9.1,4,homalopoma spp,1
Bodega,14,2,2003,6,2,1,14,9.1,4,littorina plena; littorina scutulata,48
Bodega,14,2,2003,6,2,1,14,9.1,4,nucella emarginata; nucella ostrina,2
Bodega,14,2,2003,6,2,1,14,9.1,4,tegula funebralis,12
Bodega,14,2,2003,6,2,1,14,16.5,8,leptasterias spp,17
Bodega,14,2,2003,6,2,1,14,16.5,8,pisaster ochraceus,4
Bodega,14,2,2003,6,2,2,18,0.6,1,littorina plena; littorina scutulata,12
Bodega,14,2,2003,6,2,2,18,5,4,littorina plena; littorina scutulata,324
Bodega,14,2,2003,6,2,2,18,5,4,nucella emarginata; nucella ostrina,10
Bodega,14,2,2003,6,2,2,18,29,8,amphissa versicolor,1
Bodega,14,2,2003,6,2,2,18,29,8,leptasterias spp,3
Bodega,14,2,2003,6,2,2,18,29,8,pugettia producta,2
Bodega,14,2,2003,6,2,2,21,0.2,1,littorina plena; littorina scutulata,550
Bodega,14,2,2003,6,2,2,21,0.2,1,tegula funebralis,1
Bodega,14,2,2003,6,2,2,21,8,4,littorina plena; littorina scutulata,672
Bodega,14,2,2003,6,2,2,21,8,4,nucella emarginata; nucella ostrina,11
Bodega,14,2,2003,6,2,2,21,8,4,pagurus samuelis,1
Bodega,14,2,2003,6,2,2,21,8,4,tegula funebralis,5
Bodega,14,2,2003,6,2,2,21,31.5,8,amphissa versicolor,1
Bodega,14,2,2003,6,2,2,21,31.5,8,cancer antennarius,1
Bodega,14,2,2003,6,2,2,21,31.5,8,leptasterias spp,5
Bodega,14,2,2003,6,2,2,21,31.5,8,petrolisthes spp,1
Bodega,14,2,2003,6,2,2,24,2.1,1,littorina keenae,1
Bodega,14,2,2003,6,2,2,24,2.1,1,littorina plena; littorina scutulata,1233
Bodega,14,2,2003,6,2,2,24,11,4,littorina plena; littorina scutulata,112
Bodega,14,2,2003,6,2,2,24,11,4,nucella emarginata; nucella ostrina,3
Bodega,14,2,2003,6,2,2,24,11,4,pugettia producta,1
Bodega,14,2,2003,6,2,2,24,11,4,tegula funebralis,8
Bodega,14,2,2003,6,2,2,24,30,8,leptasterias spp,17
Bodega,14,2,2003,6,2,2,24,30,8,pisaster ochraceus,2
Bodega,14,2,2003,6,2,2,27,3.7,1,littorina keenae,1
Bodega,14,2,2003,6,2,2,27,3.7,1,littorina plena; littorina scutulata,764
Bodega,14,2,2003,6,2,2,27,17,4,nucella emarginata; nucella ostrina,6
Bodega,14,2,2003,6,2,2,27,17,4,petrolisthes spp,1
Bodega,14,2,2003,6,2,2,27,17,4,tegula funebralis,10
Bodega,14,2,2003,6,2,2,27,36,8,leptasterias spp,1
Bodega,14,2,2003,6,2,2,27,36,8,nucella canaliculata,3
Bodega,14,2,2003,6,2,2,27,36,8,nucella emarginata; nucella ostrina,1
Bodega,14,2,2003,6,2,2,27,36,8,petrolisthes spp,2
Bodega,14,2,2003,6,2,2,27,36,8,pisaster ochraceus,1
Bodega,14,2,2003,6,2,2,30,0,1,littorina plena; littorina scutulata,546
Bodega,14,2,2003,6,2,2,30,22,4,littorina plena; littorina scutulata,217
Bodega,14,2,2003,6,2,2,30,22,4,nucella emarginata; nucella ostrina,3
Bodega,14,2,2003,6,2,2,30,22,4,pachygrapsus crassipes,2
Bodega,14,2,2003,6,2,2,30,22,4,petrolisthes spp,1
Bodega,14,2,2003,6,2,2,30,22,4,tegula funebralis,8
Bodega,14,2,2003,6,2,2,30,34,8,leptasterias spp,3
Bodega,14,2,2003,6,2,2,30,34,8,nucella canaliculata,1
Bodega,14,2,2003,6,2,2,30,34,8,nucella emarginata; nucella ostrina,1
Bodega,14,2,2003,6,2,2,30,34,8,pisaster ochraceus,3
Bodega,14,3,2004,5,20,1,0,0.9,1,littorina keenae,5
Bodega,14,3,2004,5,20,1,0,10.8,4,littorina plena; littorina scutulata,1
Bodega,14,3,2004,5,20,1,0,10.8,4,pachygrapsus crassipes,1
Bodega,14,3,2004,5,20,1,3,2.5,1,littorina plena; littorina scutulata,296
Bodega,14,3,2004,5,20,1,3,2.5,1,tegula funebralis,1
Bodega,14,3,2004,5,20,1,3,16.1,8,leptasterias spp,1
Bodega,14,3,2004,5,20,1,6,1,1,littorina plena; littorina scutulata,236
Bodega,14,3,2004,5,20,1,6,20.2,8,leptasterias spp,6
Bodega,14,3,2004,5,20,1,6,20.2,8,nucella emarginata; nucella ostrina,2
Bodega,14,3,2004,5,20,1,9,0.8,1,littorina plena; littorina scutulata,192
Bodega,14,3,2004,5,20,1,9,6.5,4,littorina plena; littorina scutulata,116
Bodega,14,3,2004,5,20,1,9,6.5,4,nucella emarginata; nucella ostrina,1
Bodega,14,3,2004,5,20,1,12,3.3,1,littorina plena; littorina scutulata,108
Bodega,14,3,2004,5,20,1,12,3.3,1,pachygrapsus crassipes,1
Bodega,14,3,2004,5,20,1,12,3.3,1,tegula funebralis,1
Bodega,14,3,2004,5,20,1,12,9.1,4,littorina plena; littorina scutulata,105
Bodega,14,3,2004,5,20,1,12,9.1,4,nucella emarginata; nucella ostrina,44
Bodega,14,3,2004,5,20,1,12,9.1,4,tegula funebralis,2
Bodega,14,3,2004,5,20,1,12,21.3,8,leptasterias spp,11
Bodega,14,3,2004,5,20,1,14,3.3,1,littorina plena; littorina scutulata,384
Bodega,14,3,2004,5,20,1,14,3.3,1,nucella emarginata; nucella ostrina,4
Bodega,14,3,2004,5,20,1,14,6.8,4,littorina plena; littorina scutulata,42
Bodega,14,3,2004,5,20,1,14,17.5,8,nucella emarginata; nucella ostrina,3
Bodega,14,3,2004,5,20,2,18,3.4,1,littorina plena; littorina scutulata,464
Bodega,14,3,2004,5,20,2,18,27.4,4,littorina plena; littorina scutulata,1
Bodega,14,3,2004,5,20,2,18,27.4,4,nucella canaliculata,4
Bodega,14,3,2004,5,20,2,18,27.4,4,nucella emarginata; nucella ostrina,11
Bodega,14,3,2004,5,20,2,18,28.7,8,lacuna spp,16
Bodega,14,3,2004,5,20,2,18,28.7,8,leptasterias spp,2
Bodega,14,3,2004,5,20,2,21,1.6,1,littorina plena; littorina scutulata,476
Bodega,14,3,2004,5,20,2,21,22,4,nucella emarginata; nucella ostrina,23
Bodega,14,3,2004,5,20,2,21,22,4,tegula funebralis,1
Bodega,14,3,2004,5,20,2,21,29.2,8,lacuna spp,1
Bodega,14,3,2004,5,20,2,21,29.2,8,leptasterias spp,1
Bodega,14,3,2004,5,20,2,21,29.2,8,oedignathus inermis,1
Bodega,14,3,2004,5,20,2,24,1.6,1,littorina plena; littorina scutulata,272
Bodega,14,3,2004,5,20,2,24,40,8,leptasterias spp,6
Bodega,14,3,2004,5,20,2,24,40,8,pisaster ochraceus,1
Bodega,14,3,2004,5,20,2,27,2.9,1,littorina plena; littorina scutulata,1456
Bodega,14,3,2004,5,20,2,27,16.2,4,littorina plena; littorina scutulata,52
Bodega,14,3,2004,5,20,2,27,16.2,4,nucella emarginata; nucella ostrina,4
Bodega,14,3,2004,5,20,2,27,43.9,8,leptasterias spp,1
Bodega,14,3,2004,5,20,2,27,43.9,8,pugettia producta,1
Bodega,14,3,2004,5,20,2,30,0,1,littorina plena; littorina scutulata,464
Bodega,14,3,2004,5,20,2,30,10.5,4,littorina plena; littorina scutulata,192
Bodega,14,3,2004,5,20,2,30,10.5,4,nucella emarginata; nucella ostrina,2
Bodega,14,3,2004,5,20,2,30,10.5,4,pachygrapsus crassipes,4
Bodega,14,3,2004,5,20,2,30,39,8,leptasterias spp,3
Bodega,14,3,2004,5,20,2,30,39,8,oedignathus inermis,1
Bodega,14,3,2004,5,20,2,30,39,8,pisaster ochraceus,1
Bodega,14,4,2010,5,31,1,0,1.7,1,littorina plena; littorina scutulata,90
Bodega,14,4,2010,5,31,1,0,19.5,8,lacuna spp,2
Bodega,14,4,2010,5,31,1,0,19.5,8,leptasterias spp,5
Bodega,14,4,2010,5,31,1,0,19.5,8,pisaster ochraceus,1
Bodega,14,4,2010,5,31,1,6,0.1,1,littorina plena; littorina scutulata,46
Bodega,14,4,2010,5,31,1,6,13,4,petrolisthes spp,1
Bodega,14,4,2010,5,31,1,6,13,4,tegula funebralis,1
Bodega,14,4,2010,5,31,1,6,20.7,8,leptasterias spp,2
Bodega,14,4,2010,5,31,1,6,20.7,8,nucella canaliculata,4
Bodega,14,4,2010,5,31,1,14,2.7,1,littorina plena; littorina scutulata,284
Bodega,14,4,2010,5,31,1,14,8.3,4,littorina keenae,1
Bodega,14,4,2010,5,31,1,14,8.3,4,littorina plena; littorina scutulata,5
Bodega,14,4,2010,5,31,1,14,8.3,4,tegula funebralis,5
Bodega,14,4,2010,5,31,1,14,24.5,8,cancer antennarius,1
Bodega,14,4,2010,5,31,1,14,24.5,8,leptasterias spp,2
Bodega,14,4,2010,5,31,1,14,24.5,8,pagurus samuelis,1
Bodega,14,4,2010,5,31,2,18,2.6,1,littorina plena; littorina scutulata,980
Bodega,14,4,2010,5,31,2,18,27.2,4,nucella emarginata; nucella ostrina,2
Bodega,14,4,2010,5,31,2,18,27.2,4,tegula funebralis,3
Bodega,14,4,2010,5,31,2,18,30.8,8,nucella canaliculata,1
Bodega,14,4,2010,5,31,2,18,30.8,8,pagurus hirsutiusculus,2
Bodega,14,4,2010,5,31,2,18,30.8,8,pugettia producta,3
Bodega,14,4,2010,5,31,2,24,4.1,1,littorina plena; littorina scutulata,1120
Bodega,14,4,2010,5,31,2,24,10.8,4,littorina plena; littorina scutulata,1
Bodega,14,4,2010,5,31,2,24,10.8,4,littorina spp,3
Bodega,14,4,2010,5,31,2,24,10.8,4,pagurus granosimanus,1
Bodega,14,4,2010,5,31,2,24,10.8,4,pagurus hirsutiusculus,4
Bodega,14,4,2010,5,31,2,24,10.8,4,tegula funebralis,2
Bodega,14,4,2010,5,31,2,24,31.2,8,leptasterias spp,5
Bodega,14,4,2010,5,31,2,24,31.2,8,nucella canaliculata,1
Bodega,14,4,2010,5,31,2,30,0.5,1,littorina plena; littorina scutulata,560
Bodega,14,4,2010,5,31,2,30,20,4,littorina plena; littorina scutulata,178
Bodega,14,4,2010,5,31,2,30,20,4,nucella emarginata; nucella ostrina,10
Bodega,14,4,2010,5,31,2,30,20,4,pachygrapsus crassipes,3
Bodega,14,4,2010,5,31,2,30,20,4,tegula funebralis,2
Bodega,14,4,2010,5,31,2,30,38.7,8,leptasterias spp,3
Bodega,14,4,2010,5,31,2,30,38.7,8,nucella canaliculata,2
Bodega,14,4,2010,5,31,2,30,38.7,8,pugettia producta,1
Bodega,14,5,2012,11,13,1,0,1.7,1,littorina spp,132
Bodega,14,5,2012,11,13,1,0,3.2,1,littorina plena; littorina scutulata,15
Bodega,14,5,2012,11,13,1,0,3.2,1,littorina spp,94
Bodega,14,5,2012,11,13,1,0,3.2,1,nucella emarginata; nucella ostrina,1
Bodega,14,5,2012,11,13,1,0,3.2,1,pachygrapsus crassipes,1
Bodega,14,5,2012,11,13,1,0,3.2,1,tegula funebralis,8
Bodega,14,5,2012,11,13,1,0,7.2,4,littorina keenae,2
Bodega,14,5,2012,11,13,1,0,7.2,4,littorina spp,5
Bodega,14,5,2012,11,13,1,0,18.8,8,lacuna spp,1
Bodega,14,5,2012,11,13,1,0,18.8,8,nucella emarginata; nucella ostrina,1
Bodega,14,5,2012,11,13,1,0,18.8,8,pisaster ochraceus,1
Bodega,14,5,2012,11,13,1,3,1.6,1,littorina spp,134
Bodega,14,5,2012,11,13,1,3,1.6,1,pachygrapsus crassipes,2
Bodega,14,5,2012,11,13,1,3,1.6,1,tegula funebralis,2
Bodega,14,5,2012,11,13,1,3,2.9,1,littorina plena; littorina scutulata,8
Bodega,14,5,2012,11,13,1,3,2.9,1,littorina spp,352
Bodega,14,5,2012,11,13,1,3,5.2,4,littorina plena; littorina scutulata,5
Bodega,14,5,2012,11,13,1,3,5.2,4,littorina spp,72
Bodega,14,5,2012,11,13,1,6,1.1,1,littorina plena; littorina scutulata,9
Bodega,14,5,2012,11,13,1,6,1.1,1,littorina spp,51
Bodega,14,5,2012,11,13,1,6,8.4,4,leptasterias spp,2
Bodega,14,5,2012,11,13,1,6,8.4,4,lirularia spp; margarites spp,3
Bodega,14,5,2012,11,13,1,6,8.4,4,littorina keenae,8
Bodega,14,5,2012,11,13,1,6,8.4,4,littorina spp,110
Bodega,14,5,2012,11,13,1,6,8.4,4,tegula funebralis,1
Bodega,14,5,2012,11,13,1,9,1.4,1,littorina plena; littorina scutulata,10
Bodega,14,5,2012,11,13,1,9,1.4,1,littorina spp,25
Bodega,14,5,2012,11,13,1,9,5.4,4,littorina plena; littorina scutulata,3
Bodega,14,5,2012,11,13,1,9,5.4,4,littorina spp,83
Bodega,14,5,2012,11,13,1,9,5.4,4,tegula funebralis,5
Bodega,14,5,2012,11,13,1,9,20,8,nucella emarginata; nucella ostrina,2
Bodega,14,5,2012,11,13,1,12,9.5,4,littorina keenae,12
Bodega,14,5,2012,11,13,1,12,9.5,4,littorina spp,27
Bodega,14,5,2012,11,13,1,12,15.6,8,lacuna spp,1
Bodega,14,5,2012,11,13,1,12,15.6,8,littorina keenae,1
Bodega,14,5,2012,11,13,1,12,15.6,8,nucella emarginata; nucella ostrina,1
Bodega,14,5,2012,11,13,1,12,15.6,8,tegula funebralis,5
Bodega,14,5,2012,11,13,1,14,9.5,4,lirularia spp; margarites spp,1
Bodega,14,5,2012,11,13,1,14,9.5,4,nucella emarginata; nucella ostrina,3
